"Current time"	2018/04/17 17:43:42
#0000092	2018/04/19 15:30:25	18.54	 1.32336	0.082691	-0.828246	 5.73	16.02	15.202	 4.274	8.110626	8.671407	 0.0000	 1.0915	4835	496	310.765	99.304	15.294	  15.2820	  4.16370	  33.5915
#0000093	2018/04/19 16:00:25	18.53	 1.32317	0.082396	-0.828553	 5.73	16.44	15.207	 4.315	8.105429	8.665977	 0.0000	 1.0878	4835	496	308.729	98.646	15.291	  15.2719	  4.16308	  33.5947
#0000094	2018/04/19 16:30:25	18.53	 1.32337	0.082658	-0.828303	 5.73	16.27	15.202	 4.399	8.110054	8.670409	 0.0000	 1.0905	4835	496	310.702	99.253	15.280	  15.2605	  4.16226	  33.5969
#0000095	2018/04/19 17:04:58	18.52	 1.33202	0.082318	-0.828776	 5.74	16.59	14.972	 4.557	8.106141	8.664832	 0.0000	 1.0896	4835	496	316.620	100.422	14.949	  14.8680	  4.12130	  33.5634
#0000096	2018/04/19 17:30:25	18.52	 1.35411	0.081094	-0.830297	 5.73	15.23	14.389	 4.676	8.089864	8.645027	 0.0000	 1.1109	4835	496	321.034	100.387	14.297	  14.1530	  4.04996	  33.5286
#0000097	2018/04/19 18:00:25	18.52	 1.36272	0.080954	-0.830607	 5.74	14.85	14.164	 4.808	8.089412	8.642230	 0.0000	 1.1261	4835	496	322.260	100.477	14.163	  14.0977	  4.04295	  33.5119
#0000098	2018/04/19 18:30:25	18.52	 1.36531	0.080977	-0.830678	 5.74	14.71	14.096	 4.927	8.090413	8.641788	 0.0000	 1.1318	4835	496	320.983	100.034	14.143	  14.1129	  4.04366	  33.5053
#0000099	2018/04/19 19:00:25	18.51	 1.36527	0.081147	-0.830524	 5.73	14.65	14.097	 5.023	8.093396	8.644479	 0.0000	 1.1355	4835	496	322.025	100.434	14.177	  14.1760	  4.04986	  33.5077
#0000100	2018/04/19 19:30:25	18.51	 1.36186	0.081750	-0.829909	 5.73	14.74	14.186	 5.069	8.103166	8.654223	 0.0000	 1.1303	4835	496	324.562	101.473	14.289	  14.2843	  4.06070	  33.5136
#0000101	2018/04/19 20:00:25	18.51	 1.35894	0.082142	-0.829457	 5.74	14.80	14.263	 5.125	8.109366	8.661247	 0.0000	 1.1284	4835	496	328.057	102.747	14.369	  14.3822	  4.06879	  33.5031
#0000102	2018/04/19 20:30:25	18.50	 1.35465	0.083070	-0.828463	 5.74	14.88	14.375	 5.209	8.124640	8.677351	 0.0000	 1.1268	4835	496	333.896	104.879	14.502	  14.5337	  4.08445	  33.5156
#0000103	2018/04/19 21:00:25	18.50	 1.34964	0.083862	-0.827594	 5.74	15.03	14.507	 5.194	8.137336	8.691016	 0.0000	 1.1228	4835	496	340.431	107.255	14.640	  14.6337	  4.09758	  33.5494
#0000104	2018/04/19 21:30:25	18.50	 1.34599	0.084188	-0.827201	 5.74	15.18	14.603	 5.138	8.142185	8.696758	 0.0000	 1.1194	4835	496	343.527	108.417	14.720	  14.7145	  4.10417	  33.5397
#0000105	2018/04/19 22:00:25	18.49	 1.34429	0.084419	-0.826936	 5.74	15.32	14.648	 5.061	8.145813	8.700874	 0.0000	 1.1148	4835	496	347.096	109.612	14.749	  14.7480	  4.10567	  33.5246
#0000106	2018/04/19 22:30:25	18.49	 1.34859	0.083098	-0.828283	 5.73	15.19	14.534	 4.987	8.123696	8.678628	 0.0000	 1.1186	4835	496	338.401	106.455	14.572	  14.5198	  4.08389	  33.5225
